Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,324,1845,192,6429,1098.35,0.000%,.10442,31.35,0.01,307399.5
TOTAL,324,1845,192,6429,1098.35,0.000%,.10442,31.35,0.01,307399.5
